ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
103.209.52.250,,136174,The Professional Communications Pvt Ltd,PK,Mansehra,,i/o timeout,,0.00,2023-03-02T22:47:07Z,2020-07-16T13:28:38Z
119.160.80.164,host-164-net-80-160-119.mobilinkinfinity.net.pk.,45669,PMCL /LDI IP TRANSIT,PK,,,i/o timeout,,0.75,2021-05-03T22:25:52Z,2020-07-16T13:30:06Z
119.63.132.230,tw132-static230.tw1.com.,38193,Transworld Associates Pvt. Ltd.,PK,Karachi,,i/o timeout,,0.00,2022-03-14T07:18:08Z,2020-09-18T12:27:30Z
122.129.64.10,ns1.brain.net.pk.,17911,Brain Telecommunication Ltd.,PK,Lahore,,i/o timeout,,0.39,2022-08-22T03:26:23Z,2020-09-30T08:58:29Z
210.56.14.146,ns1.comsats.net.pk.,7590,Commission on Science and Technology for,PK,Islamabad,,REFUSED for example.com,,0.00,2023-04-20T15:41:42Z,2020-10-09T18:19:59Z
103.138.223.250,,139043,WellNetworks Private Limited,PK,Lahore,,i/o timeout,,0.00,2022-04-22T07:03:21Z,2020-10-18T19:40:36Z
202.44.80.25,ns1.biplsec.com.,45446,My Solutions Corporation Ltd.,PK,,Microsoft DNS 6.0.6002 (17725FAC),Unexpected result for wikileaks.org: {[[195 35 109 44] [195 35 109 53] [141 105 65 113] [185 165 168 41]]},,0.00,2021-09-02T16:50:25Z,2020-11-22T11:39:04Z
72.255.9.137,,9541,Cyber Internet Services Pvt Ltd.,PK,Faisalabad,,connection refused,,0.00,2023-02-08T23:35:12Z,2021-01-31T18:59:15Z
103.161.49.254,,134489,S. B Link Network,PK,Rahim Yar Khan,,REFUSED for example.com,,0.00,2023-03-03T05:45:35Z,2021-05-09T10:43:02Z
58.27.149.60,ns3.wateen.net.,38264,National WiMAXIMS environment,PK,Bhakkar,9.9.4-RedHat-9.9.4-61.el7,Unexpected result for wikileaks.org: {[[185 165 168 41] [195 35 109 44] [195 35 109 53] [141 105 65 113]]},,0.00,2021-09-01T14:46:26Z,2021-05-14T06:31:10Z
121.52.154.227,isra.edu.pk.,45773,"PERN AS Content Servie Provider, Islamabad, Pakistan",PK,Hyderabad,,i/o timeout,,0.00,2021-10-08T08:03:35Z,2021-05-30T13:03:31Z
121.52.154.231,isra.edu.pk.,45773,"PERN AS Content Servie Provider, Islamabad, Pakistan",PK,Sukkur,,Unexpected result for wikileaks.org: {[[51 159 197 136] [80 81 248 21]]},,0.00,2023-01-13T16:29:44Z,2021-05-30T13:13:05Z
103.167.158.82,,142295,Net Gate Pvt Ltd,PK,Rawalpindi,,i/o timeout,,0.00,2023-04-20T15:48:30Z,2021-06-08T16:39:20Z
209.150.154.1,pub-dns01.paymax.com.pk.,59257,CMPak Limited,PK,,,Unexpected result for rotten.com: NXDOMAIN,,0.00,2023-04-20T15:48:40Z,2021-06-09T14:23:39Z
110.37.216.118,WGPON-37216-118.wateen.net.,38264,National WiMAXIMS environment,PK,Karachi,,i/o timeout,,0.00,2022-03-14T07:17:42Z,2021-09-23T11:48:23Z
42.201.134.22,22.134.201.42-static-fiberlink.net.pk.,55714,Fiberlink Pvt.Ltd,PK,Karachi,,i/o timeout,,0.00,2022-04-13T10:02:19Z,2021-09-24T12:42:59Z
182.176.149.66,,17557,Pakistan Telecommunication Company Limited,PK,Kot Addu,,,false,0.75,2021-11-09T22:09:37Z,2021-09-25T14:51:30Z
110.37.228.210,WGPON-37228-210.wateen.net.,0,,PK,,,i/o timeout,,0.00,2022-12-24T18:09:20Z,2021-09-25T15:55:45Z
103.217.179.185,host-217-179-185.tes.com.pk.,135407,Trans World Enterprise Services Private Limited,PK,Lahore,,i/o timeout,,0.00,2022-12-23T07:06:51Z,2021-09-25T15:57:35Z
117.20.27.130,,38193,Transworld Associates Pvt. Ltd.,PK,Lahore,,i/o timeout,,0.55,2023-03-02T20:45:46Z,2021-09-25T15:57:38Z
59.103.138.78,,132165,Connect Communications,PK,Karachi,,i/o timeout,,0.00,2023-04-20T15:48:34Z,2021-09-25T16:00:06Z
125.209.66.170,125-209-66-170.multi.net.pk.,135523,Multinet Broadband,PK,,,,false,1.00,2021-09-25T16:00:15Z,2021-09-25T16:00:15Z
59.103.243.83,,17557,Pakistan Telecommunication Company Limited,PK,Islamabad,,,false,1.00,2021-09-25T16:00:41Z,2021-09-25T16:00:41Z
59.103.138.123,,132165,Connect Communications,PK,Karachi,,,false,1.00,2021-09-25T16:02:36Z,2021-09-25T16:02:36Z
180.178.189.118,,136969,KK Networks Pvt Ltd.,PK,Lahore,,,false,1.00,2021-09-25T16:02:40Z,2021-09-25T16:02:40Z
202.142.178.98,202-142-178-98.multi.net.pk.,135523,Multinet Broadband,PK,Faisalabad,,connection refused,,0.00,2022-12-20T13:10:05Z,2021-09-25T16:05:22Z
202.141.233.66,202-141-233-66.multi.net.pk.,9260,Multinet Pakistan Pvt. Ltd.,PK,,,i/o timeout,,0.78,2021-10-08T08:02:25Z,2021-09-25T16:05:29Z
110.38.74.58,WGPON-3874-58.wateen.net.,38264,National WiMAXIMS environment,PK,Karachi,,,false,0.51,2021-10-08T08:00:35Z,2021-09-25T16:06:59Z
103.20.3.78,,55453,House # 39 Street 38 F10 4,PK,New Mirpur,,i/o timeout,,0.01,2021-09-30T14:00:26Z,2021-09-26T00:35:43Z
110.38.57.243,WGPON-3857-243.wateen.net.,38264,National WiMAXIMS environment,PK,Lahore,,,false,1.00,2021-09-26T03:27:40Z,2021-09-26T03:27:40Z
110.38.26.106,WGPON-3826-106.wateen.net.,38264,National WiMAXIMS environment,PK,Karachi,,i/o timeout,,0.00,2023-03-05T06:57:44Z,2021-09-27T12:28:52Z
118.103.236.13,,132165,Connect Communications,PK,Karachi,,,false,1.00,2021-10-01T04:28:02Z,2021-10-01T04:28:02Z
221.120.192.202,static.khi77.pie.net.pk.,17557,Pakistan Telecommunication Company Limited,PK,,,,false,0.47,2021-10-08T08:02:16Z,2021-10-01T08:20:32Z
110.36.213.38,WGPON-36213-38.wateen.net.,38264,National WiMAXIMS environment,PK,Khanewal,,,false,1.00,2021-10-07T13:26:44Z,2021-10-07T13:26:44Z
58.27.244.146,58-27-244-146.wateen.net.,38264,National WiMAXIMS environment,PK,Karachi,,,false,0.84,2021-10-17T22:03:32Z,2021-10-12T15:11:12Z
110.37.217.114,WGPON-37217-114.wateen.net.,38264,National WiMAXIMS environment,PK,Karachi,,i/o timeout,,0.00,2022-12-04T12:47:23Z,2021-10-16T05:34:26Z
180.178.189.68,,136969,KK Networks Pvt Ltd.,PK,Lahore,,,false,0.97,2021-11-04T08:01:12Z,2021-11-01T11:52:36Z
210.56.8.8,ns2.comsats.net.pk.,7590,Commission on Science and Technology for,PK,Islamabad,Hmm..Imran not a good attitude,,true,1.00,2021-11-03T03:37:45Z,2021-11-03T03:37:45Z
118.107.143.202,118-107-143-202.snet.net.pk.,18053,Special Communication Organization,PK,Gilgit,,i/o timeout,,0.00,2022-01-14T07:07:59Z,2021-11-10T02:32:28Z
103.168.40.14,skif-lahore-domain.lhr.skifgroup.com.,142421,SKIF Enterprises Private Limited,PK,,,,false,0.97,2022-02-23T10:07:35Z,2022-02-17T06:52:13Z
223.29.230.165,,136969,KK Networks Pvt Ltd.,PK,Lahore,,i/o timeout,,0.97,2022-08-19T03:25:23Z,2022-08-10T17:01:53Z
223.29.230.190,,136969,KK Networks Pvt Ltd.,PK,Lahore,,,false,0.97,2022-09-08T13:26:52Z,2022-08-12T22:21:28Z
103.189.127.102,,137561,WAYLINK,PK,,,,true,1.00,2022-09-28T15:36:08Z,2022-09-28T08:59:57Z
116.206.164.226,cns226.cactuspk.com.,135632,Cactus Network Solutions CNS Pvt Ltd,PK,Lahore,,i/o timeout,,0.52,2022-10-11T08:31:04Z,2022-09-28T10:16:19Z
125.209.74.126,125-209-74-126.multi.net.pk.,9260,Multinet Pakistan Pvt. Ltd.,PK,Lahore,,,false,0.80,2022-10-16T04:31:23Z,2022-09-29T04:46:58Z
203.135.5.90,,17557,Pakistan Telecommunication Company Limited,PK,Karachi,,,false,1.00,2023-02-08T23:47:51Z,2022-10-01T16:41:38Z
103.152.117.145,,136969,KK Networks Pvt Ltd.,PK,Lahore,,,false,1.00,2022-10-03T01:36:38Z,2022-10-02T20:37:24Z
43.246.225.182,,141711,Fiber Beam Pvt Limited,PK,Karachi,,i/o timeout,,0.00,2023-02-08T23:48:06Z,2022-10-02T20:55:27Z
