ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
103.112.162.165,ip-103-112-162-165.cloudteknologinusantara.co.id.,137331,PT Cloud Teknologi Nusantara,ID,Jakarta,,i/o timeout,,0.00,2023-03-02T20:45:47Z,2020-07-15T11:27:37Z
103.133.222.202,ip-103-133.222-202.cloudteknologinusantara.co.id.,137331,PT Cloud Teknologi Nusantara,ID,Jakarta,,i/o timeout,,0.00,2023-02-09T22:29:32Z,2020-07-15T11:27:50Z
103.78.215.212,,131111,PT Mora Telematika Indonesia,ID,Bogor,,i/o timeout,,0.00,2022-04-13T08:01:04Z,2020-07-22T02:19:30Z
103.129.221.226,ip226.221.129.103.in-addr.arpa.unknwn.cloudhost.asia.,138062,PT. Awan Kilat Semesta,ID,,Infotek Public DNS Resolver public-dns.infotek.net.id [validator] With DNSSEC & APJII Content Filter - http://infotek.net.id/dns/,,true,0.95,2022-02-08T08:09:20Z,2020-07-24T11:00:41Z
157.119.57.20,,135370,PT Telematika Mitrakreasi,ID,,,i/o timeout,,0.00,2022-09-03T02:24:44Z,2020-09-04T09:51:16Z
103.134.220.158,host-103.134.220-158.glosindo.net.id.,138810,PT Global Media Pratama Solusindo,ID,Yogyakarta,9.10.3-P4-Ubuntu,Unexpected result for wikileaks.org: NXDOMAIN,,0.00,2023-04-20T15:41:48Z,2020-09-06T11:02:03Z
103.5.148.99,,58387,Badan Pengawas Obat dan Makanan,ID,,,,false,0.07,2023-03-04T14:45:05Z,2020-11-22T11:34:47Z
103.215.176.29,ip-103.215.176.29.unilak.ac.id.,135370,PT Telematika Mitrakreasi,ID,,,i/o timeout,,0.00,2023-02-26T11:50:24Z,2020-12-14T18:52:47Z
203.189.89.36,mail.minerba.esdm.go.id.,38765,Departemen Energi dan Sumber Daya Mineral,ID,,9.9.5-3ubuntu0.8-Ubuntu,Unexpected result for wikileaks.org: {[[185 165 168 41] [195 35 109 44] [141 105 69 239] [141 105 65 113] [195 35 109 53]]},,0.89,2021-01-10T04:38:14Z,2020-12-30T10:50:19Z
121.100.28.163,163.28.100.121.saktiputramandiri.net.id.,38761,PT. Sakti Putra Mandiri,ID,Pangkalan Balai,,i/o timeout,,0.00,2023-03-03T06:50:30Z,2020-12-30T10:51:37Z
175.103.48.7,,55669,PT. Maxindo Content Solution,ID,Jakarta,,i/o timeout,,0.47,2022-08-07T01:24:23Z,2020-12-30T10:55:30Z
202.46.152.212,,0,,ID,,,i/o timeout,,0.00,2023-03-11T00:45:33Z,2020-12-30T10:56:01Z
103.28.114.57,host-103-28-114-57.ldp.net.id.,45305,"Lintas Data Prima, PT",ID,Mojokerto,,Unexpected result for wikileaks.org: {[[195 35 109 53] [185 165 168 41] [141 105 65 113] [195 35 109 44]]},,0.00,2021-09-06T22:47:42Z,2020-12-30T10:57:59Z
203.123.229.120,,0,,ID,,,i/o timeout,,0.00,2023-04-20T15:44:10Z,2020-12-30T10:58:03Z
116.212.101.10,,38501,PT Solusi Lintas Data,ID,,,Unexpected result for example.com: {[[54 214 116 219]]},,0.00,2023-03-05T23:47:34Z,2020-12-30T11:12:58Z
101.0.6.195,host-6-195.universal.net.id.,55670,PT. Universal Broadband,ID,Surabaya,,Unexpected result for rotten.com: {[[27 54 116 70]]},,0.50,2023-02-21T03:47:19Z,2020-12-30T11:14:11Z
203.190.55.94,,24530,PT. Power Telecom Indonesia,ID,Jakarta,,i/o timeout,,0.00,2023-03-07T13:46:40Z,2020-12-30T11:18:33Z
114.4.110.164,114-4-110-164.resources.indosat.com.,4761,INDOSAT Internet Network Provider,ID,Bandung,,i/o timeout,,0.00,2023-04-20T15:45:30Z,2020-12-30T11:19:04Z
101.255.56.42,,38511,PT Remala Abadi,ID,Bekasi,,i/o timeout,,0.00,2021-08-24T09:11:00Z,2020-12-30T11:25:05Z
66.96.229.59,host-66-96-229-59.myrepublic.co.id.,63859,PT. Eka Mas Republik,ID,Surabaya,,connection refused,,0.00,2023-04-20T15:45:12Z,2020-12-30T11:42:35Z
202.147.193.106,ip-193-106.mncplaymedia.com.,17670,PT. MNC Kabel Mediacom,ID,Keputih,,no route to host,,0.00,2022-12-06T08:47:24Z,2020-12-30T11:44:53Z
202.83.121.10,,131745,PT. Cybertechtonic Pratama,ID,,,i/o timeout,,0.00,2023-03-11T00:45:17Z,2020-12-30T11:48:10Z
103.23.20.23,103-23-20-23.isi.cloud.id.,58397,PT Infinys System Indonesia,ID,,,i/o timeout,,0.00,2023-04-20T15:46:26Z,2020-12-30T11:49:44Z
103.23.22.143,103-23-22-143.isi.cloud.id.,58397,PT Infinys System Indonesia,ID,,,i/o timeout,,0.00,2023-04-20T15:45:42Z,2020-12-30T11:49:57Z
103.207.236.34,,134644,PT Cakrawala Lintas Kepri,ID,,,i/o timeout,,0.00,2021-10-08T08:01:05Z,2020-12-30T11:53:06Z
103.207.236.210,,134644,PT Cakrawala Lintas Kepri,ID,,,i/o timeout,,0.00,2021-05-03T22:24:39Z,2020-12-30T11:53:09Z
103.207.237.237,,134644,PT Cakrawala Lintas Kepri,ID,,,i/o timeout,,0.00,2023-04-20T15:46:28Z,2020-12-30T11:53:12Z
103.198.131.226,,0,,ID,,,i/o timeout,,0.00,2023-03-04T10:47:07Z,2020-12-30T11:56:56Z
103.226.174.4,,59275,Universitas Muhammadiyah Surakarta,ID,Boyolali,,connection refused,,0.00,2023-04-20T15:46:16Z,2020-12-30T11:57:09Z
103.226.174.5,,59275,Universitas Muhammadiyah Surakarta,ID,Boyolali,,i/o timeout,,0.00,2023-03-10T02:52:23Z,2020-12-30T11:57:11Z
