ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
65.75.74.123,,15146,CABLEBAHAMAS,BS,Spanish Wells,,i/o timeout,,0.46,2021-10-08T08:00:57Z,2021-09-24T03:58:40Z
65.75.74.124,,15146,CABLEBAHAMAS,BS,Nassau,,i/o timeout,,0.19,2022-01-21T07:08:17Z,2021-09-24T04:00:24Z
69.4.165.181,,15146,CABLEBAHAMAS,BS,Nassau,,i/o timeout,,0.31,2023-03-04T04:00:33Z,2023-02-28T15:14:10Z
216.137.13.22,,8014,BATELNET,BS,Nassau,9.11.13-RedHat-9.11.13-5.el8_2,,false,0.93,2023-03-13T04:45:25Z,2023-03-11T01:36:44Z
206.138.18.20,,15146,CABLEBAHAMAS,BS,,9.9.5-9+deb8u3-Debian,,false,1.00,2023-04-21T12:43:12Z,2023-03-13T00:59:41Z
208.87.35.199,208-87-35-199.securehost.com.,18635,SECUREHOST,BS,,,,false,1.00,2023-03-13T07:17:52Z,2023-03-13T07:17:52Z
64.150.230.90,,15146,CABLEBAHAMAS,BS,Freeport,dnsmasq-2.40,,false,1.00,2023-03-13T14:53:08Z,2023-03-13T14:53:08Z
