ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
193.19.64.88,,200163,Itera Norge AS,NO,,Microsoft DNS 6.0.6002 (17725FAC),,false,0.97,2023-03-11T10:44:44Z,2020-08-19T16:44:45Z
193.215.74.3,dctrh001.powelasa.powel.com.,2119,Telenor Norge AS,NO,Hamarvik,,i/o timeout,,0.00,2023-03-08T13:46:50Z,2020-08-19T16:44:47Z
217.170.128.27,munch.absnet.no.,49788,Nexthop AS,NO,Oslo,,,false,1.00,2023-03-08T22:48:05Z,2020-08-19T16:45:01Z
77.74.160.119,,2116,Globalconnect As,NO,,,i/o timeout,,0.00,2022-12-02T23:46:54Z,2020-08-19T16:45:08Z
79.161.49.34,79.161.49.34.static.lyse.net.,29695,Altibox AS,NO,Frekhaug,,i/o timeout,,0.00,2021-11-29T07:31:36Z,2020-08-19T16:45:10Z
85.93.231.114,,61275,NEAS AS,NO,Kristiansund,,i/o timeout,,0.00,2023-03-01T22:46:47Z,2020-08-19T16:45:21Z
87.254.34.102,s1.bedriftsnett.no.,35754,IMC AS,NO,,,i/o timeout,,0.00,2023-03-01T00:46:11Z,2020-08-19T16:45:24Z
62.97.196.149,149.62-97-196.bkkb.no.,8542,Eviny Digital AS,NO,Haugesund,,,false,0.95,2023-03-03T05:45:35Z,2020-08-19T16:45:41Z
82.134.16.250,250.82-134-16.bkkb.no.,8542,Eviny Digital AS,NO,Nordre Steinsland,,i/o timeout,,0.00,2023-02-24T14:46:55Z,2020-09-02T19:42:05Z
62.97.204.18,18.62-97-204.bkkb.no.,8542,Eviny Digital AS,NO,Bergen,,i/o timeout,,0.00,2022-04-07T09:15:34Z,2020-09-02T19:42:20Z
185.175.56.119,ns3.nasa.gov.,63473,HOSTHATCH,NO,Oslo,,i/o timeout,,0.00,2023-03-09T21:48:12Z,2020-09-09T13:26:03Z
81.175.40.23,zi203bl.zetha.no.,2116,Globalconnect As,NO,Oslo,,Unexpected result for example.com: NXDOMAIN,,0.00,2023-03-09T08:44:54Z,2020-11-22T11:34:12Z
85.19.217.194,ns2.itum.com.,25400,Telia Norge AS,NO,Grimstad,,i/o timeout,,0.00,2022-08-25T23:24:52Z,2020-11-22T11:34:22Z
93.187.83.200,,21119,Braathe AS,NO,Skien,,i/o timeout,,0.00,2023-03-12T11:51:13Z,2020-11-22T11:34:44Z
213.138.160.20,dns2.rev.no.,48863,Ren Roros Digital AS,NO,Røros,,i/o timeout,,0.00,2023-03-09T02:45:50Z,2020-11-22T11:41:26Z
2001:840:100::,ns1.powertech.no.,2116,Globalconnect As,NO,,PowerDNS Recursor 3.5.3 $Id$,,false,1.00,2022-12-17T07:07:15Z,2021-02-12T11:30:58Z
2001:840:200::,ns2.powertech.no.,5381,Globalconnect As,NO,,9.8.3-P4,Unexpected result for wikileaks.org: {[[141 105 65 113] [185 165 168 41] [195 35 109 44] [195 35 109 53]]},,0.00,2021-08-31T17:10:01Z,2021-02-12T11:31:04Z
195.67.27.18,,3301,Telia Company AB,NO,Jessheim,,i/o timeout,,0.00,2023-04-20T15:45:46Z,2021-02-12T12:50:44Z
85.119.136.158,telio.info.,35157,Nextgentel Holding Asa,NO,,,connection refused,,0.00,2022-12-22T13:07:11Z,2021-05-06T13:58:29Z
81.175.40.21,zi201bl.zetha.no.,2116,Globalconnect As,NO,Oslo,,Unexpected result for example.com: NXDOMAIN,,0.00,2023-02-14T05:27:26Z,2021-05-14T06:33:26Z
93.187.83.201,,21119,Braathe Gruppen AS,NO,Notodden,,i/o timeout,,0.00,2021-11-29T07:34:44Z,2021-06-09T14:16:23Z
141.0.79.138,141.0.79.138.static.lyse.net.,29695,Altibox AS,NO,Geilo,,i/o timeout,,0.00,2021-09-01T23:50:07Z,2021-06-09T14:18:24Z
194.19.74.250,ns1.cowisys.no.,2116,Globalconnect As,NO,Trondheim,,i/o timeout,,0.00,2022-12-20T13:10:05Z,2021-06-09T14:20:52Z
195.18.138.5,,2116,Globalconnect As,NO,Steinkjer,,REFUSED for example.com,,0.00,2022-02-22T07:12:55Z,2021-06-09T14:21:06Z
217.18.206.12,ns1.eonisp.net.,13243,Evry Norge As,NO,Gravdal,PowerDNS Recursor 4.3.7 (built Mar 19 2021 16:05:47 by root@4e0a07faa541),Unexpected result for wikileaks.org: {[[141 105 65 113] [195 35 109 53] [185 165 168 41] [195 35 109 44]]},,0.00,2021-09-01T15:45:52Z,2021-06-09T14:24:53Z
81.175.26.1,c011AAF51.static.as2116.net.,2116,Globalconnect As,NO,Oslo,,i/o timeout,,0.00,2023-03-05T06:54:26Z,2021-09-25T20:32:07Z
89.191.14.88,iris088.irisinfo.net.,2116,Globalconnect As,NO,Oslo,dnsmasq-pi-hole-2.80,,false,1.00,2021-10-01T23:05:58Z,2021-10-01T23:05:58Z
