ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
160.119.210.14,,328144,Touch-IT-AS,ZA,Johannesburg,,i/o timeout,,0.00,2022-12-06T21:47:23Z,2020-09-03T20:47:50Z
154.73.209.69,mt-client-154-73-209.mtnetworks.co.za.,327754,RMS-Powertronics,ZA,Johannesburg,,i/o timeout,,0.00,2022-12-24T18:06:21Z,2020-09-20T22:33:13Z
196.44.32.35,cache-dns1.adept.co.za.,15022,Adept Internet,ZA,Blackheath,,i/o timeout,,0.00,2023-03-10T04:45:12Z,2020-09-20T22:33:52Z
196.44.40.35,cache-dns2.adept.co.za.,15022,Adept Internet,ZA,Cape Town,,i/o timeout,,0.00,2023-01-11T08:28:28Z,2020-09-20T22:33:53Z
196.22.218.248,dnscache2.voxdns.co.za.,11845,Vox-Telecom,ZA,Cape Town,,i/o timeout,,0.00,2023-03-09T21:48:13Z,2020-10-12T20:24:54Z
196.15.170.131,ns1.gns.co.za.,5713,SAIX-NET,ZA,Cape Town,,Unexpected result for wikileaks.org: {[[185 165 168 41] [141 105 65 113] [195 35 109 53] [195 35 109 44]]},,0.00,2021-09-01T12:45:32Z,2021-04-28T17:25:38Z
196.13.141.10,,3067,DENINF-IPLAN,ZA,,,,false,0.89,2023-02-25T20:47:13Z,2021-04-28T17:25:40Z
105.30.247.93,ns3.gns.co.za.,37100,SEACOM-AS,ZA,Durban,,,false,0.74,2021-05-03T22:25:54Z,2021-04-28T17:25:42Z
197.189.234.82,,37153,xneelo,ZA,,,SERVFAIL for example.com,,0.00,2023-04-20T15:47:51Z,2021-05-14T06:24:48Z
41.134.52.235,mail.notesafrica.co.za.,10474,OPTINET,ZA,,,i/o timeout,,0.00,2023-04-20T15:48:19Z,2021-05-14T06:30:05Z
146.230.128.6,hcc-dc-02.ukzn.ac.za.,2018,TENET-1,ZA,Durban,,Unexpected result for verisignlabs.com: {[[69 58 187 68] [209 131 162 50]]},,0.00,2021-08-31T17:10:04Z,2021-06-09T14:18:28Z
146.230.128.128,hcc-dc-03.ukzn.ac.za.,2018,TENET-1,ZA,Durban,,,false,0.90,2021-10-08T08:00:45Z,2021-06-09T14:18:30Z
41.0.65.54,vc-vb-41-0-65-54.ens.vodacom.co.za.,36994,Vodacom-VB,ZA,Johannesburg,,i/o timeout,,0.00,2023-03-05T06:57:34Z,2021-09-26T01:39:56Z
154.72.6.202,,327726,Newtelco,ZA,Springs,,i/o timeout,,0.00,2023-04-20T15:48:31Z,2021-09-26T14:40:19Z
196.22.221.2,ctbackup.ct.stormnet.co.za.,11845,Vox-Telecom,ZA,Johannesburg,,,false,0.89,2021-09-28T00:00:32Z,2021-09-27T05:41:15Z
