ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
152.206.118.203,srv203118-206152.vps.etecsa.cu.,27725,"Empresa de Telecomunicaciones de Cuba, S.A.",CU,Havana,,connection refused,,0.00,2023-02-16T16:05:19Z,2022-12-14T12:19:57Z
181.225.255.203,srv203255-225181.vps.etecsa.cu.,27725,"Empresa de Telecomunicaciones de Cuba, S.A.",CU,,,,false,0.88,2023-02-26T10:01:18Z,2022-12-24T19:16:19Z
152.206.80.254,,27725,"Empresa de Telecomunicaciones de Cuba, S.A.",CU,Havana,,,true,0.93,2023-02-19T06:55:05Z,2022-12-26T03:00:36Z
152.206.201.49,srv49201-206152.vps.etecsa.cu.,27725,"Empresa de Telecomunicaciones de Cuba, S.A.",CU,Havana,,,false,0.61,2023-02-19T12:02:19Z,2022-12-31T00:05:46Z
190.15.158.58,srv58158-15190.vps.etecsa.cu.,27725,"Empresa de Telecomunicaciones de Cuba, S.A.",CU,,,i/o timeout,,0.00,2023-02-19T20:02:20Z,2023-01-02T12:42:39Z
190.15.159.183,srv183159-15190.vps.etecsa.cu.,27725,"Empresa de Telecomunicaciones de Cuba, S.A.",CU,,,,false,1.00,2023-03-13T07:27:44Z,2023-03-13T07:27:44Z
152.206.201.77,srv77201-206152.vps.etecsa.cu.,27725,"Empresa de Telecomunicaciones de Cuba, S.A.",CU,Havana,,,false,1.00,2023-03-13T08:37:41Z,2023-03-13T08:37:41Z
152.206.201.169,srv169201-206152.vps.etecsa.cu.,27725,"Empresa de Telecomunicaciones de Cuba, S.A.",CU,Havana,9.16.1-Ubuntu,,false,0.83,2023-03-18T08:46:44Z,2023-03-15T16:21:25Z
152.206.177.177,srv177177-206152.vps.etecsa.cu.,27725,"Empresa de Telecomunicaciones de Cuba, S.A.",CU,Havana,,SERVFAIL for wikileaks.org,,0.61,2023-04-05T13:19:14Z,2023-03-16T00:11:23Z
152.206.139.75,srv75139-206152.vps.etecsa.cu.,27725,"Empresa de Telecomunicaciones de Cuba, S.A.",CU,Sancti Spíritus,,SERVFAIL for wikileaks.org,,0.97,2023-04-05T00:44:01Z,2023-03-16T08:17:20Z
152.206.119.216,srv216119-206152.vps.etecsa.cu.,27725,"Empresa de Telecomunicaciones de Cuba, S.A.",CU,Havana,,i/o timeout,,0.00,2023-04-19T19:37:29Z,2023-03-16T14:44:23Z
152.206.85.158,srv15885-206152.vps.etecsa.cu.,27725,"Empresa de Telecomunicaciones de Cuba, S.A.",CU,Havana,,i/o timeout,,0.00,2023-04-19T19:39:09Z,2023-03-16T17:24:44Z
190.15.158.182,srv182158-15190.vps.etecsa.cu.,27725,"Empresa de Telecomunicaciones de Cuba, S.A.",CU,,,i/o timeout,,0.00,2023-08-12T20:56:15Z,2023-03-18T02:06:35Z
152.206.118.29,srv29118-206152.vps.etecsa.cu.,27725,"Empresa de Telecomunicaciones de Cuba, S.A.",CU,Havana,,i/o timeout,,0.00,2023-08-17T21:58:30Z,2023-03-23T16:34:04Z
190.15.159.47,srv47159-15190.vps.etecsa.cu.,27725,"Empresa de Telecomunicaciones de Cuba, S.A.",CU,,,,false,1.00,2023-08-17T22:02:36Z,2023-05-04T10:33:45Z
