ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
154.70.147.1,,327716,Microteck-AS,BW,Gaborone,,,false,0.67,2021-09-26T23:07:32Z,2021-09-25T21:15:03Z
154.70.148.70,,327716,Microteck-AS,BW,Gaborone,,i/o timeout,,0.11,2022-04-22T07:03:23Z,2021-09-25T21:15:17Z
129.205.210.90,,37678,BOFINET,BW,Dekar,,,false,1.00,2021-09-26T08:40:50Z,2021-09-26T08:40:50Z
154.70.151.73,,327716,Microteck-AS,BW,Gaborone,,,false,1.00,2021-10-03T10:05:00Z,2021-10-03T10:05:00Z
154.73.39.241,,327757,ICT-DYNAMIX,BW,,,,false,1.00,2023-02-08T23:58:22Z,2022-10-20T09:09:08Z
102.141.116.13,,327830,Concerotel-Botswana,BW,Gaborone,,,false,0.29,2022-10-26T00:34:06Z,2022-10-21T03:34:58Z
102.141.115.93,,327830,Concerotel-Botswana,BW,Gaborone,,connection refused,,0.00,2023-02-14T11:51:08Z,2022-11-09T10:25:47Z
154.70.149.42,,327716,Microteck-AS,BW,Gaborone,,,false,0.61,2023-02-18T10:12:00Z,2022-12-18T15:43:58Z
102.141.115.147,,327830,Concerotel-Botswana,BW,Gaborone,,,false,1.00,2023-03-13T08:44:54Z,2023-03-13T01:07:40Z
102.141.114.32,,327830,Concerotel-Botswana,BW,Gaborone,,,false,1.00,2023-03-13T07:08:11Z,2023-03-13T07:08:11Z
41.79.33.154,,327760,ELECTRO-METIC,BW,Kanye,,i/o timeout,,0.88,2023-03-14T09:46:37Z,2023-03-13T10:28:46Z
154.73.84.42,,327776,Stature-PTY-LTD,BW,Gaborone,9.10.3-P4,,false,1.00,2023-03-13T14:54:27Z,2023-03-13T14:54:27Z
41.79.33.62,,327760,ELECTRO-METIC,BW,Kanye,,,false,1.00,2023-03-13T15:40:50Z,2023-03-13T15:40:50Z
154.70.151.90,,327716,Microteck-AS,BW,Thamaga,,,false,1.00,2023-03-15T09:49:06Z,2023-03-13T17:21:01Z
129.205.201.129,,37678,BOFINET,BW,Gaborone,,,false,1.00,2023-03-15T04:49:28Z,2023-03-14T11:23:08Z
154.70.145.117,,327716,Microteck-AS,BW,Thamaga,,,false,1.00,2023-03-15T04:53:37Z,2023-03-14T18:04:17Z
102.141.114.90,,327830,Concerotel-Botswana,BW,Gaborone,,,false,1.00,2023-03-15T04:55:01Z,2023-03-14T20:21:38Z
154.70.151.53,,327716,Microteck-AS,BW,Thamaga,,,false,1.00,2023-03-18T02:47:23Z,2023-03-15T00:55:42Z
129.205.210.82,,37678,BOFINET,BW,Dekar,,,false,1.00,2023-03-18T02:49:17Z,2023-03-15T04:15:46Z
156.38.30.30,,37678,BOFINET,BW,Gaborone,,,false,1.00,2023-03-18T02:50:51Z,2023-03-15T06:51:31Z
160.242.93.90,,33763,Paratus-Telecom,BW,Gaborone,,SERVFAIL for wikileaks.org,,0.97,2023-04-05T00:41:18Z,2023-03-16T03:56:39Z
102.134.164.73,,327776,Stature-PTY-LTD,BW,Gaborone,,SERVFAIL for wikileaks.org,,0.97,2023-04-05T00:42:19Z,2023-03-16T05:41:33Z
160.242.88.94,,33763,Paratus-Telecom,BW,Gaborone,,,false,0.57,2023-04-19T19:38:16Z,2023-03-16T16:08:14Z
168.167.36.252,,14988,BTC-GATE1,BW,Lobatse,,i/o timeout,,0.58,2023-04-21T21:43:58Z,2023-03-16T23:24:34Z
213.193.42.42,,16637,MTN Business Solutions,BW,Gaborone,,i/o timeout,,0.00,2023-08-12T21:06:27Z,2023-03-18T19:25:06Z
41.76.241.135,,37678,BOFINET,BW,Gaborone,,i/o timeout,,0.87,2023-08-17T22:04:31Z,2023-05-08T01:44:26Z
41.223.142.210,web.orange.co.bw.,36963,OBO,BW,Kanye,,i/o timeout,,0.00,2023-08-17T21:18:39Z,2020-05-22T07:01:26Z
