ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
5.42.229.148,galaxy.execloud.net.,35753,Integrated Telecom Co. Ltd,SA,Riyadh,,i/o timeout,,0.00,2023-03-10T04:45:13Z,2020-09-20T22:34:28Z
213.236.62.10,,41176,Sahara Network,SA,Jubail,,i/o timeout,,0.00,2022-12-20T13:07:05Z,2020-09-20T22:34:31Z
185.51.204.10,ns1.wafai.net.sa.,202105,Al wafai International For Communication and Information Technology LLC,SA,Jeddah,,i/o timeout,,0.00,2023-03-04T05:46:38Z,2020-09-20T22:34:33Z
212.33.190.215,,41132,SOL-AS,SA,,,i/o timeout,,0.00,2023-03-04T14:44:56Z,2021-02-12T16:44:02Z
212.26.7.10,,8895,King Abdul Aziz City for Science and Technology,SA,Riyadh,,REFUSED for example.com,,0.00,2021-09-03T00:46:48Z,2021-05-14T06:28:33Z
89.237.130.186,static-89-237-130.mobily.com.sa.,29255,GulfNet KSA,SA,Riyadh,,i/o timeout,,0.00,2023-04-20T15:47:41Z,2021-05-14T06:34:18Z
185.51.204.11,ns2.wafai.net.sa.,202105,Al wafai International For Communication and Information Technology LLC,SA,Jeddah,Microsoft DNS 6.1.7601 (1DB14556),Unexpected result for wikileaks.org: {[[185 165 168 41] [195 35 109 44] [195 35 109 53] [141 105 65 113]]},,0.00,2021-08-31T17:11:48Z,2021-06-09T14:20:10Z
31.167.109.66,,35819,"Etihad Etisalat, a joint stock company",SA,Jeddah,,i/o timeout,,0.00,2023-02-08T18:32:08Z,2021-10-01T12:05:16Z
175.110.216.222,,25019,Saudi Telecom Company JSC,SA,Bisha,,i/o timeout,,0.00,2023-03-02T10:46:33Z,2021-10-12T15:11:10Z
142.154.124.228,,25019,Saudi Telecom Company JSC,SA,Jeddah,,i/o timeout,,0.02,2021-11-02T09:11:39Z,2021-10-30T04:27:33Z
141.164.250.223,,25019,Saudi Telecom Company JSC,SA,Jeddah,,i/o timeout,,0.68,2021-11-07T16:07:39Z,2021-11-02T10:55:58Z
175.110.204.167,,25019,Saudi Telecom Company JSC,SA,Ta'if,,i/o timeout,,0.02,2021-11-09T15:04:17Z,2021-11-08T09:04:29Z
51.223.244.240,,25019,Saudi Telecom Company JSC,SA,Riyadh,,i/o timeout,,0.00,2023-02-25T20:56:16Z,2021-11-10T02:23:34Z
31.167.83.98,,35819,"Etihad Etisalat, a joint stock company",SA,Jeddah,,i/o timeout,,0.51,2022-01-11T13:12:32Z,2022-01-08T15:35:57Z
212.26.6.11,,8895,King Abdul Aziz City for Science and Technology,SA,Riyadh,,i/o timeout,,0.00,2022-12-06T20:47:51Z,2022-04-26T00:16:55Z
2.88.93.191,,25019,Saudi Telecom Company JSC,SA,Riyadh,,,false,1.00,2022-08-28T11:23:24Z,2022-08-28T11:23:24Z
2.88.148.46,,25019,Saudi Telecom Company JSC,SA,Riyadh,,,false,1.00,2022-08-28T11:25:10Z,2022-08-28T11:25:10Z
2.88.152.172,,25019,Saudi Telecom Company JSC,SA,Riyadh,,,false,1.00,2022-08-28T11:25:20Z,2022-08-28T11:25:20Z
2.88.26.22,,25019,Saudi Telecom Company JSC,SA,Riyadh,,,true,1.00,2022-09-03T03:10:15Z,2022-09-03T03:10:15Z
2.88.142.172,,25019,Saudi Telecom Company JSC,SA,Riyadh,,,false,1.00,2022-09-03T03:13:17Z,2022-09-03T03:13:17Z
