ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
65.48.140.191,,46408,COLUMBUS-COMMUNICATION-SVG,VC,Kingstown,,i/o timeout,,0.02,2022-12-06T23:52:38Z,2022-11-26T23:46:17Z
65.48.140.32,,46408,COLUMBUS-COMMUNICATION-SVG,VC,Kingstown,,i/o timeout,,0.00,2023-08-17T21:12:45Z,2017-03-18T22:10:00Z
65.48.140.38,,46408,COLUMBUS-COMMUNICATION-SVG,VC,Kingstown,,i/o timeout,,0.00,2023-08-17T21:12:45Z,2017-03-18T22:10:00Z
65.48.140.112,,46408,COLUMBUS-COMMUNICATION-SVG,VC,Kingstown,not available,,true,0.05,2023-08-17T21:12:39Z,2017-03-18T22:10:01Z
65.48.140.125,,46408,COLUMBUS-COMMUNICATION-SVG,VC,Kingstown,not available,,true,0.37,2023-08-17T21:12:39Z,2017-03-18T22:10:01Z
65.48.140.138,,46408,COLUMBUS-COMMUNICATION-SVG,VC,Kingstown,,i/o timeout,,0.00,2023-08-17T21:12:47Z,2017-03-18T22:10:01Z
65.48.140.150,,46408,COLUMBUS-COMMUNICATION-SVG,VC,Kingstown,,i/o timeout,,0.00,2023-08-17T21:12:47Z,2017-03-18T22:10:01Z
65.48.140.162,,46408,COLUMBUS-COMMUNICATION-SVG,VC,Kingstown,,i/o timeout,,0.00,2023-08-17T21:12:48Z,2017-03-18T22:10:01Z
65.48.140.179,,46408,COLUMBUS-COMMUNICATION-SVG,VC,Kingstown,,i/o timeout,,0.08,2023-08-17T21:12:48Z,2017-03-18T22:10:02Z
65.48.140.192,,46408,COLUMBUS-COMMUNICATION-SVG,VC,Kingstown,,i/o timeout,,0.00,2023-08-17T21:12:48Z,2017-03-18T22:10:02Z
65.48.140.204,,46408,COLUMBUS-COMMUNICATION-SVG,VC,Kingstown,,i/o timeout,,0.00,2023-08-17T21:52:46Z,2017-03-18T22:10:02Z
65.48.140.248,,46408,COLUMBUS-COMMUNICATION-SVG,VC,Kingstown,,i/o timeout,,0.00,2023-08-17T21:12:49Z,2017-03-18T22:10:02Z
65.48.140.250,,46408,COLUMBUS-COMMUNICATION-SVG,VC,Kingstown,,i/o timeout,,0.00,2023-08-17T21:12:49Z,2017-03-18T22:10:02Z
65.48.141.57,,46408,COLUMBUS-COMMUNICATION-SVG,VC,Kingstown,,i/o timeout,,0.00,2023-08-17T21:12:49Z,2017-03-18T22:10:03Z
65.48.141.112,,46408,COLUMBUS-COMMUNICATION-SVG,VC,Kingstown,,i/o timeout,,0.00,2023-08-17T21:12:49Z,2017-03-18T22:10:03Z
65.48.142.56,,46408,COLUMBUS-COMMUNICATION-SVG,VC,Kingstown,,i/o timeout,,0.00,2023-08-17T21:12:49Z,2017-03-18T22:10:05Z
65.48.143.44,,46408,COLUMBUS-COMMUNICATION-SVG,VC,Kingstown,,i/o timeout,,0.00,2023-08-17T21:12:49Z,2017-03-18T22:10:07Z
65.48.229.96,,46408,COLUMBUS-COMMUNICATION-SVG,VC,Questelles,,i/o timeout,,0.00,2023-08-17T21:12:50Z,2017-03-18T22:10:11Z
65.48.234.43,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.18,2023-08-17T21:12:52Z,2017-03-18T22:10:21Z
65.48.234.44,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.19,2023-08-17T21:12:52Z,2017-03-18T22:10:21Z
65.48.234.81,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.08,2023-08-17T21:12:53Z,2017-03-18T22:10:21Z
65.48.234.144,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:53Z,2017-03-18T22:10:21Z
65.48.234.170,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:53Z,2017-03-18T22:10:22Z
65.48.234.232,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:53Z,2017-03-18T22:10:22Z
65.48.234.236,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:53Z,2017-03-18T22:10:22Z
65.48.234.245,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:53Z,2017-03-18T22:10:22Z
65.48.235.249,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:53Z,2017-03-18T22:10:24Z
69.73.238.120,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:53Z,2017-03-18T22:10:54Z
69.80.56.31,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:53Z,2017-03-18T22:10:57Z
69.80.56.46,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:53Z,2017-03-18T22:10:57Z
69.80.57.8,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:55Z,2017-03-18T22:10:59Z
69.80.57.43,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:55Z,2017-03-18T22:10:59Z
72.51.88.25,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:55Z,2017-03-18T22:21:33Z
72.51.89.118,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:56Z,2017-03-18T22:21:36Z
72.51.76.174,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:56Z,2017-03-18T22:21:51Z
72.51.76.202,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:57Z,2017-03-18T22:21:51Z
72.51.76.205,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:57Z,2017-03-18T22:21:51Z
72.51.76.207,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:58Z,2017-03-18T22:21:51Z
72.51.76.242,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:58Z,2017-03-18T22:21:51Z
72.51.77.145,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:58Z,2017-03-18T22:21:52Z
72.51.77.164,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:58Z,2017-03-18T22:21:53Z
72.51.77.181,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:58Z,2017-03-18T22:21:53Z
72.51.77.213,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:58Z,2017-03-18T22:21:53Z
72.51.77.221,,46408,COLUMBUS-COMMUNICATION-SVG,VC,,,i/o timeout,,0.00,2023-08-17T21:12:58Z,2017-03-18T22:21:53Z
