ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
203.81.75.37,,9988,Myanma Posts and Telecommunications,MM,Yangon,,i/o timeout,,0.00,2023-01-12T13:29:22Z,2020-07-28T16:27:42Z
103.85.107.102,,136255,"Telecom International Myanmar Co., Ltd",MM,Yangon,,no route to host,,0.00,2022-12-06T21:48:49Z,2020-08-20T02:39:38Z
74.50.211.86,undefined.hostname.localhost.,132167,OOREDOO MYANMAR,MM,,,i/o timeout,,0.00,2023-04-20T15:43:43Z,2020-12-14T04:18:28Z
37.111.49.182,,133385,Atom Myanmar Limited,MM,,,i/o timeout,,0.00,2023-04-20T15:43:56Z,2020-12-14T04:18:34Z
43.227.12.72,,136480,Myanmar Unilink Communication Company Limited,MM,,,i/o timeout,,0.00,2023-03-03T18:48:52Z,2020-12-14T04:19:23Z
103.85.105.210,,136255,"Telecom International Myanmar Co., Ltd",MM,Yangon,,connection refused,,0.00,2021-10-13T20:02:32Z,2020-12-14T04:19:27Z
43.227.15.68,,136480,Myanmar Unilink Communication Company Limited,MM,,dnsmasq-2.73,Unexpected result for wikileaks.org: {[[157 240 11 18]]},,0.00,2021-05-03T22:24:18Z,2020-12-14T04:19:30Z
65.18.117.237,,136255,"Telecom International Myanmar Co., Ltd",MM,Yangon,,i/o timeout,,0.00,2023-02-24T15:47:51Z,2020-12-14T04:19:51Z
103.116.159.170,,137888,"Bee Connect Myanmar Co., Ltd.",MM,,,connection refused,,0.00,2023-04-20T15:43:14Z,2020-12-14T04:19:55Z
65.18.117.233,,136255,"Telecom International Myanmar Co., Ltd",MM,Yangon,,i/o timeout,,0.00,2023-03-08T17:48:19Z,2020-12-14T04:20:02Z
103.89.177.143,,136480,Myanmar Unilink Communication Company Limited,MM,Yangon,,i/o timeout,,0.00,2023-03-09T21:47:58Z,2020-12-14T04:26:20Z
103.116.159.145,,137888,"Bee Connect Myanmar Co., Ltd.",MM,,,connection refused,,0.00,2022-12-06T21:54:23Z,2020-12-14T04:26:23Z
202.191.98.132,,136255,"Telecom International Myanmar Co., Ltd",MM,,,no route to host,,0.00,2023-04-21T12:43:21Z,2020-12-14T04:27:08Z
103.85.107.100,,136255,"Telecom International Myanmar Co., Ltd",MM,Yangon,,no route to host,,0.00,2023-03-01T19:53:55Z,2020-12-14T04:27:11Z
45.250.202.253,,135427,Myanmar Network Company Limited,MM,,,i/o timeout,,0.00,2021-10-08T08:00:38Z,2020-12-14T04:27:15Z
103.116.12.199,,135300,"Myanmar Broadband Telecom Co., Ltd",MM,Yangon,dnsmasq-2.72,,false,0.78,2023-03-07T13:46:09Z,2020-12-14T04:27:17Z
65.18.117.234,,136255,"Telecom International Myanmar Co., Ltd",MM,Yangon,,i/o timeout,,0.00,2023-04-20T15:43:54Z,2020-12-14T04:27:48Z
202.191.108.42,,136255,"Telecom International Myanmar Co., Ltd",MM,,,i/o timeout,,0.61,2021-04-23T22:24:55Z,2020-12-14T04:27:58Z
202.191.98.129,,136255,"Telecom International Myanmar Co., Ltd",MM,,,no route to host,,0.00,2022-12-06T21:54:44Z,2020-12-14T04:28:14Z
103.85.107.103,,136255,"Telecom International Myanmar Co., Ltd",MM,Yangon,,no route to host,,0.00,2023-02-28T18:45:09Z,2020-12-14T04:28:22Z
69.160.4.206,undefined.hostname.localhost.,132167,OOREDOO MYANMAR,MM,,,connection refused,,0.00,2022-12-06T21:51:21Z,2020-12-14T04:28:27Z
43.227.15.69,,136480,Myanmar Unilink Communication Company Limited,MM,,,i/o timeout,,0.00,2023-03-03T07:47:23Z,2020-12-14T04:28:30Z
103.85.104.38,,136255,"Telecom International Myanmar Co., Ltd",MM,Yangon,,no route to host,,0.00,2023-03-05T23:47:28Z,2020-12-14T04:28:33Z
103.85.104.44,,136255,"Telecom International Myanmar Co., Ltd",MM,Yangon,,no route to host,,0.00,2023-02-26T11:50:19Z,2020-12-14T04:28:36Z
103.116.159.70,,137888,"Bee Connect Myanmar Co., Ltd.",MM,,,connection refused,,0.00,2023-03-08T22:51:04Z,2020-12-14T04:28:38Z
103.116.159.185,,137888,"Bee Connect Myanmar Co., Ltd.",MM,,,connection refused,,0.00,2022-12-24T18:09:16Z,2020-12-14T04:28:40Z
103.85.104.22,,136255,"Telecom International Myanmar Co., Ltd",MM,Yangon,,connection refused,,0.00,2021-05-03T22:25:39Z,2020-12-14T04:34:10Z
103.116.159.141,,137888,"Bee Connect Myanmar Co., Ltd.",MM,,,connection refused,,0.00,2021-08-31T17:10:13Z,2020-12-14T04:34:12Z
103.116.159.60,,137888,"Bee Connect Myanmar Co., Ltd.",MM,,,connection refused,,0.00,2023-02-23T08:47:53Z,2020-12-14T04:34:15Z
103.203.133.66,,134840,"Myanmar Country Co., Ltd.",MM,,,,false,0.75,2021-05-03T22:23:35Z,2020-12-14T04:34:28Z
103.116.159.150,,137888,"Bee Connect Myanmar Co., Ltd.",MM,,,connection refused,,0.00,2023-03-08T13:48:04Z,2020-12-14T04:34:29Z
103.85.107.99,,136255,"Telecom International Myanmar Co., Ltd",MM,Yangon,x.x.x,,false,0.97,2023-03-09T21:48:05Z,2020-12-14T04:34:32Z
103.85.104.37,,136255,"Telecom International Myanmar Co., Ltd",MM,Yangon,x.x.x,Unexpected result for wikileaks.org: {[[141 105 65 113] [141 105 69 239] [185 165 168 41] [195 35 109 44] [195 35 109 53]]},,0.90,2021-01-11T15:38:35Z,2020-12-14T04:34:37Z
69.160.0.186,undefined.hostname.localhost.,132167,OOREDOO MYANMAR,MM,,,i/o timeout,,0.00,2022-03-30T11:17:01Z,2020-12-14T04:34:58Z
