ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
203.115.130.74,,6648,"Bayan Telecommunications, Inc.",PH,Malay,Query Not Allowed.,,true,0.99,2021-10-08T08:03:12Z,2021-09-23T16:38:53Z
202.78.97.41,nsvip.skyinet.net.,6648,"Bayan Telecommunications, Inc.",PH,,Query Not Allowed.,,true,1.00,2021-11-09T18:06:56Z,2021-09-23T16:39:06Z
120.28.57.114,,4775,Globe Telecoms,PH,,,,false,1.00,2021-09-24T05:59:51Z,2021-09-24T05:59:51Z
161.49.215.57,57.215.49.161-rev.convergeict.com.,17639,Converge ICT Solutions Inc.,PH,,,,false,1.00,2021-09-24T06:13:04Z,2021-09-24T06:13:04Z
121.58.203.4,,17639,Converge ICT Solutions Inc.,PH,Manila,,,false,0.98,2021-09-28T01:02:18Z,2021-09-26T00:43:37Z
27.110.167.164,,9299,Philippine Long Distance Telephone Company,PH,Munoz,,i/o timeout,,0.00,2023-02-28T07:57:00Z,2021-09-26T14:42:34Z
180.232.77.210,210.77.232.180.dsl.static.inet.as18190.,9658,"Eastern Telecoms Phils., Inc.",PH,Makati City,,i/o timeout,,0.02,2023-02-27T23:47:53Z,2021-09-27T06:00:36Z
43.255.217.201,static-host-43-255-217-201.tri.ph.,17970,SKYBroadband SKYCable Corporation,PH,Malate,,i/o timeout,,0.68,2021-11-29T07:34:41Z,2021-09-27T13:19:32Z
122.3.205.167,122.3.205.167.static.pldt.net.,9299,Philippine Long Distance Telephone Company,PH,Ormoc City,,i/o timeout,,0.00,2023-03-05T14:45:29Z,2021-09-27T14:48:44Z
122.55.185.226,122.55.185.226.static.pldt.net.,9299,Philippine Long Distance Telephone Company,PH,Magalang,,,false,1.00,2021-09-27T14:59:46Z,2021-09-27T14:59:46Z
124.106.234.24,,9299,Philippine Long Distance Telephone Company,PH,,,,false,0.45,2021-10-08T08:00:50Z,2021-09-28T13:57:26Z
202.57.45.28,,9927,A Multihomed ISP Company,PH,Pasay,dnsmasq-pi-hole-2.86,,false,1.00,2021-09-29T11:44:06Z,2021-09-29T11:44:06Z
121.58.235.166,cdmdna.emb.gov.ph.,17639,Converge ICT Solutions Inc.,PH,Manila,,,false,1.00,2021-10-01T23:53:09Z,2021-10-01T23:53:09Z
103.6.104.12,,134966,Southern CableVision Inc.,PH,Iligan,dnsmasq-pi-hole-2.80,,false,1.00,2021-10-02T18:36:05Z,2021-10-02T18:36:05Z
119.93.53.35,119.93.53.35.static.pldt.net.,9299,Philippine Long Distance Telephone Company,PH,Valencia,,,false,1.00,2021-10-03T22:07:31Z,2021-10-03T10:12:22Z
103.196.56.102,,135607,Infinivan Incorporated,PH,,,i/o timeout,,0.00,2022-12-17T07:07:15Z,2021-10-03T13:16:08Z
27.110.167.165,,9299,Philippine Long Distance Telephone Company,PH,Munoz,,i/o timeout,,0.00,2023-01-10T17:21:21Z,2021-10-04T00:42:29Z
146.88.67.162,,55821,"RADIUS TELECOMS, INC.",PH,Bancal,,i/o timeout,,0.00,2022-04-19T07:03:42Z,2021-10-07T04:20:18Z
122.3.207.17,122.3.207.17.static.pldt.net.,9299,Philippine Long Distance Telephone Company,PH,Caloocan City,,,true,1.00,2021-10-26T18:02:23Z,2021-10-14T06:34:57Z
180.193.216.208,,9299,Philippine Long Distance Telephone Company,PH,San Luis,,,false,1.00,2021-10-14T08:48:10Z,2021-10-14T08:48:10Z
122.2.65.202,122.2.65.202.pldt.net.,9299,Philippine Long Distance Telephone Company,PH,Quezon City,,,true,1.00,2021-10-14T08:52:12Z,2021-10-14T08:52:12Z
122.52.189.249,122.52.189.249.pldt.net.,9299,Philippine Long Distance Telephone Company,PH,Caloocan City,,,false,0.81,2021-11-29T07:32:37Z,2021-10-16T08:46:16Z
222.127.137.126,,4775,Globe Telecoms,PH,Calatrava,,i/o timeout,,0.80,2021-10-17T22:06:49Z,2021-10-16T11:40:16Z
124.106.230.55,,9299,Philippine Long Distance Telephone Company,PH,Quezon City,,i/o timeout,,0.00,2023-03-05T07:00:47Z,2021-10-18T12:56:03Z
203.177.133.235,,4775,Globe Telecoms,PH,Cotabato City,,,false,1.00,2023-02-14T05:35:41Z,2021-10-18T13:08:20Z
103.239.201.86,,17970,SKYBroadband SKYCable Corporation,PH,,,connection refused,,0.00,2023-02-25T20:47:16Z,2021-10-20T13:05:34Z
122.54.20.50,122.54.20.50.static.pldt.net.,9299,Philippine Long Distance Telephone Company,PH,Mandaluyong City,,,false,0.68,2021-11-02T07:00:33Z,2021-10-20T13:23:33Z
115.147.29.210,,9299,Philippine Long Distance Telephone Company,PH,Pasig,,i/o timeout,,0.00,2022-08-29T09:24:07Z,2021-10-22T15:06:34Z
49.145.252.227,dsl.49.145.252.227.pldt.net.,9299,Philippine Long Distance Telephone Company,PH,Cagayan de Oro,,i/o timeout,,0.81,2021-10-26T13:08:12Z,2021-10-24T03:47:54Z
119.93.53.134,119.93.53.134.static.pldt.net.,9299,Philippine Long Distance Telephone Company,PH,Valencia,,,false,0.92,2021-11-01T10:07:25Z,2021-10-24T04:24:55Z
121.58.195.140,121.58.195.140.rev.convergeict.com.,17639,Converge ICT Solutions Inc.,PH,,,i/o timeout,,0.79,2021-11-09T15:06:35Z,2021-10-26T11:16:57Z
203.177.101.202,,4775,Globe Telecoms,PH,Bacolod City,,i/o timeout,,0.50,2021-11-09T20:23:25Z,2021-10-31T12:10:37Z
27.110.167.166,,9299,Philippine Long Distance Telephone Company,PH,Alitao,,,false,1.00,2021-11-01T12:11:39Z,2021-11-01T11:46:13Z
103.196.56.116,,135607,Infinivan Incorporated,PH,,,i/o timeout,,0.00,2023-03-05T07:04:14Z,2021-11-02T03:33:49Z
49.145.251.96,dsl.49.145.251.96.pldt.net.,9299,Philippine Long Distance Telephone Company,PH,Cagayan de Oro,,,true,1.00,2021-11-02T15:08:26Z,2021-11-02T15:08:26Z
180.193.213.42,,9299,Philippine Long Distance Telephone Company,PH,,,,false,0.99,2021-11-09T15:06:29Z,2021-11-05T09:53:15Z
180.193.216.213,,9299,Philippine Long Distance Telephone Company,PH,Cagayan de Oro,,i/o timeout,,0.00,2023-02-25T20:55:54Z,2021-11-07T13:14:49Z
103.36.19.34,ns01.planetcabletv.com.,133623,Planet Cable Inc.,PH,Bacoor,9.8.2rc1-RedHat-9.8.2-0.68.rc1.el6_10.8,,false,0.97,2022-03-09T08:12:28Z,2022-02-03T23:19:07Z
103.36.18.34,ns02.planetcabletv.com.,133623,Planet Cable Inc.,PH,Bacoor,,,true,0.99,2022-02-17T13:11:42Z,2022-02-03T23:19:33Z
