ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
213.149.113.211,jumediamont-dan.211.crnagora.net.,8585,Crnogorski Telekom a.d.Podgorica,ME,,,,false,1.00,2021-09-27T01:02:32Z,2021-09-26T00:08:15Z
109.72.97.66,,43940,Drustvo za telekomunikacije MTEL DOO,ME,,,i/o timeout,,0.93,2021-11-01T10:07:31Z,2021-10-27T02:34:18Z
213.149.113.212,jumediamont-dan.212.crnagora.net.,8585,Crnogorski Telekom a.d.Podgorica,ME,Vladni,,,false,1.00,2022-10-29T15:32:45Z,2022-10-29T15:32:45Z
95.155.31.120,adsl-bb31-l120.crnagora.net.,8585,Crnogorski Telekom a.d.Podgorica,ME,Podgorica,dnsmasq-2.49,,false,1.00,2022-11-11T01:01:05Z,2022-11-07T22:17:11Z
78.155.32.97,adsl-new32-l98.crnagora.net.,8585,Crnogorski Telekom a.d.Podgorica,ME,Podgorica,,i/o timeout,,0.00,2023-02-19T21:53:14Z,2022-12-20T03:38:29Z
46.161.103.167,adsl-46-161-103167.crnagora.net.,8585,Crnogorski Telekom a.d.Podgorica,ME,Bar,,i/o timeout,,0.00,2023-02-19T06:53:37Z,2022-12-23T15:10:33Z
78.155.52.184,adsl-new52-l185.crnagora.net.,8585,Crnogorski Telekom a.d.Podgorica,ME,Podgorica,,i/o timeout,,0.25,2023-02-26T09:07:24Z,2023-02-20T13:29:59Z
46.161.87.118,adsl-46-161-87118.crnagora.net.,8585,Crnogorski Telekom a.d.Podgorica,ME,Budva,,,false,1.00,2023-02-26T09:08:51Z,2023-02-22T04:09:09Z
94.102.236.9,,47881,One Crna Gora DOO,ME,,,i/o timeout,,0.93,2023-03-02T05:54:30Z,2023-02-26T12:31:57Z
109.228.105.170,adsl-109-228-l10666.crnagora.net.,8585,Crnogorski Telekom a.d.Podgorica,ME,Podgorica,,,false,1.00,2023-03-05T06:47:56Z,2023-03-03T03:03:13Z
185.255.230.56,,203824,Info Sistemi d.o.o.,ME,,,i/o timeout,,0.00,2023-08-17T22:04:26Z,2023-05-07T19:47:10Z
