ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
185.81.41.81,,44543,Rooyekhat Media Company Ltd,IR,,,i/o timeout,,0.00,2023-03-08T22:47:55Z,2020-07-16T12:54:15Z
31.24.200.4,dns-fw2.baharnet.ir.,24631,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS,IR,Tehran,[UPDATED],Unexpected result for wikileaks.org: {[[10 10 34 36]]},,0.00,2023-02-25T21:47:26Z,2020-08-10T08:56:33Z
194.225.152.10,ns3.iranet.ir.,6736,Institute for Research in Fundamental Sciences,IR,,PowerDNS Recursor 4.1.4 (built Aug 31 2018 11:35:40 by buildbot@5c2a07a68304),Unexpected result for wikileaks.org: {[[10 10 34 35]]},,0.00,2022-12-24T18:07:26Z,2020-08-21T06:20:03Z
185.51.200.2,dns.shecan.ir.,48715,Sefroyek Pardaz Engineering Co. LTD,IR,,,Unexpected result for wikileaks.org: {[[10 10 34 35]]},,0.00,2023-04-20T15:41:36Z,2020-08-21T20:52:44Z
185.20.163.2,,41881,Fanava Group,IR,,9.11.13-RedHat-9.11.13-6.el8_2.1,Unexpected result for wikileaks.org: {[[10 10 34 35]]},,0.00,2022-03-01T07:08:45Z,2020-09-14T18:24:36Z
194.60.210.66,ns1.farzaneganpars.ir.,200370,Farzanegan Pars Communications Company PJS,IR,,9.18.3-1-Debian,Unexpected result for wikileaks.org: {[[10 10 34 36]]},,0.00,2022-11-14T14:35:24Z,2020-09-20T20:27:16Z
185.53.143.3,hosted-by.mobinhost.com.,204544,Dade Pardazi Mobinhost Co LTD,IR,,,Unexpected result for wikileaks.org: {[[10 10 34 35]]},,0.00,2023-03-04T04:46:54Z,2020-09-30T23:04:42Z
185.64.179.89,dec01.susc.ac.ir.,59962,Shiraz University,IR,,,i/o timeout,,0.00,2023-03-04T10:45:57Z,2020-10-03T10:51:08Z
81.163.3.1,irfcp.ir-1.3.163.81.in-addr.arpa.,58303,Rasana Pishtaz Iranian Service Cooperative Co.,IR,,9.11.4-P2-RedHat-9.11.4-26.P2.el7_9.13,Unexpected result for wikileaks.org: {[[10 10 34 36]]},,0.00,2023-02-28T07:50:09Z,2020-10-16T20:15:20Z
89.144.144.144,,39308,Andishe Sabz Khazar Co. P.j.s.,IR,,9.11.4-P2-RedHat-9.11.4-9.P2.el7,Unexpected result for wikileaks.org: {[[10 10 34 35]]},,0.00,2023-04-12T18:12:35Z,2020-10-18T17:22:29Z
194.36.174.161,,43754,Asiatech Data Transmission company,IR,Tehran,,SERVFAIL for example.com,,0.00,2023-03-04T03:44:47Z,2020-10-19T10:01:46Z
5.202.100.100,,49100,Pishgaman Toseeh Ertebatat Company (Private Joint Stock),IR,,PTE,Unexpected result for wikileaks.org: {[[10 10 34 35]]},,0.00,2023-04-20T15:41:44Z,2020-10-31T20:08:56Z
5.200.200.200,,58224,Iran Telecommunication Company PJS,IR,,,i/o timeout,,0.00,2022-03-23T07:18:48Z,2020-11-05T09:51:50Z
45.159.151.220,,201691,Fannavari Etelaate Samane Kavoshgar Ide Ltd.,IR,,,i/o timeout,,0.00,2023-03-01T19:51:42Z,2020-11-17T05:40:14Z
46.224.1.43,ns2.hiweb.ir.,56402,Dadeh Gostar Asr Novin P.J.S. Co.,IR,Tehran,,Unexpected result for wikileaks.org: {[[10 10 34 36]]},,0.00,2023-02-25T21:50:35Z,2020-12-08T13:23:54Z
82.99.242.155,82.99.242.155.parsonline.net.,60976,Pars Online PJS,IR,,,Unexpected result for wikileaks.org: {[[10 10 34 36]]},,0.00,2023-03-04T04:46:59Z,2020-12-10T06:10:01Z
79.175.176.42,,25184,Afranet,IR,,,i/o timeout,,0.00,2023-03-03T15:44:53Z,2020-12-23T04:51:54Z
37.19.90.65,,206065,Farabord Dadeh Haye Iranian Co.,IR,,,i/o timeout,,0.00,2023-04-21T12:43:29Z,2020-12-23T04:54:01Z
37.19.90.62,,206065,Farabord Dadeh Haye Iranian Co.,IR,,,i/o timeout,,0.00,2023-05-03T21:47:09Z,2020-12-23T04:54:16Z
217.219.250.200,,58224,Iran Telecommunication Company PJS,IR,,,i/o timeout,,0.00,2023-03-09T21:48:06Z,2020-12-23T04:56:05Z
217.219.250.201,,58224,Iran Telecommunication Company PJS,IR,,,i/o timeout,,0.00,2023-04-20T15:43:38Z,2020-12-23T04:56:09Z
217.219.250.202,,58224,Iran Telecommunication Company PJS,IR,,,i/o timeout,,0.00,2023-03-08T17:48:15Z,2020-12-23T04:56:10Z
5.145.112.38,,60256,E-Money Net Developers 24 Company Private Joint Stock,IR,,,Unexpected result for wikileaks.org: {[[10 10 34 35]]},,0.00,2023-03-04T20:46:55Z,2020-12-23T04:59:21Z
