ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
2a0f:4a80:0:5::6734,,50673,Serverius Holding B.V.,IN,,none,,true,1.00,2021-09-30T11:18:16Z,2021-09-30T11:18:16Z
2405:8a00:8001::20,,55824,NKN Core Network,IN,,,i/o timeout,,0.00,2023-08-17T22:01:18Z,2023-04-18T08:50:18Z
2409::1,dns.nic.in.,148000,1.10.10.10 - Indian Public DNS,IN,,dns.nic.in - ver k,,true,1.00,2023-08-17T22:01:11Z,2023-04-26T16:39:54Z
2001:de2::1,dns.nic.in.,148000,1.10.10.10 - Indian Public DNS,IN,,dns.nic.in - ver k,,true,1.00,2023-08-17T22:01:11Z,2023-04-26T16:40:15Z
