ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
2001:470:1f1a:78e::2,tunnel516963-pt.tunnel.tserv1.bud1.ipv6.he.net.,6939,HURRICANE,US,,,i/o timeout,,0.00,2023-03-01T22:45:37Z,2020-07-15T21:29:38Z
2001:4860:4860::8844,dns.google.,15169,GOOGLE,US,,,,true,0.94,2023-02-09T22:31:57Z,2020-08-09T19:00:20Z
2001:19f0:6401:b3d:5400:2ff:fe5a:fb9f,,20473,AS-CHOOPA,US,Dallas,,i/o timeout,,0.00,2023-03-04T03:44:54Z,2020-08-13T22:16:46Z
2604:a880:0:1010::b:4001,,14061,DIGITALOCEAN-ASN,US,New York,[hidden],,true,0.91,2023-03-04T10:46:33Z,2020-08-13T22:17:24Z
2620:74:1b::1:1,,397213,SECURITYSERVICES,US,,,,true,1.00,2023-02-27T23:48:41Z,2020-09-13T18:04:51Z
2620:0:ccc::2,resolver1.ipv6-sandbox.opendns.com.,36692,OPENDNS,US,Lake Charles,,,true,1.00,2023-03-01T05:44:54Z,2020-09-13T18:05:12Z
2001:470:20::2,ordns.he.net.,6939,HURRICANE,US,,PowerDNS Recursor 4.6.0 (built Dec 15 2021 09:19:27 by root@0d75acfec4af),,true,1.00,2022-04-22T07:03:19Z,2020-09-13T18:05:13Z
2607:f130:0:d7::918,,35916,MULTA-ASN1,US,Los Angeles,,i/o timeout,,0.00,2022-12-24T18:06:56Z,2020-11-22T08:23:46Z
2606:cd80:0:47::871a,,394727,NODISTO,US,,,i/o timeout,,0.00,2023-03-09T21:48:12Z,2020-12-10T14:40:38Z
2620:119:35::35,dns.umbrella.com.,36692,OPENDNS,US,,,Unexpected result for wikileaks.org: {[[51 159 197 136] [80 81 248 21]]},,0.03,2023-01-13T08:30:01Z,2021-02-01T18:36:09Z
2620:119:53::53,dns.umbrella.com.,36692,OPENDNS,US,,,Unexpected result for wikileaks.org: {[[185 165 168 41] [195 35 109 44] [195 35 109 53] [141 105 65 113]]},,0.00,2021-08-31T17:10:02Z,2021-02-01T18:36:09Z
2606:4700:4700::1001,one.one.one.one.,13335,CLOUDFLARENET,US,,,Unexpected result for wikileaks.org: {[[185 165 168 41] [195 35 109 44] [141 105 65 113] [195 35 109 53]]},,0.00,2021-09-01T12:44:57Z,2021-02-01T18:36:10Z
2001:418:3ff::1:53,y.ns.gin.ntt.net.,2914,NTT-LTD-2914,US,,9.11.3-1ubuntu1.18-Ubuntu,,false,1.00,2023-03-08T22:48:14Z,2021-02-12T11:28:51Z
2001:468:c80:2101:0:100:0:22,yardbird.cns.ipv6.vt.edu.,1312,VA-TECH-AS,US,Blacksburg,fancy new chroot version,,true,1.00,2023-04-20T15:45:58Z,2021-02-12T11:29:18Z
2001:978:1:1::d,eu-res1.dns.cogentco.com.,174,COGENT-174,US,,blue,Unexpected result for wikileaks.org: {[[80 81 248 21] [51 159 197 136]]},,0.00,2023-01-11T14:28:58Z,2021-02-12T11:31:15Z
2610:a1:1019::1,,397215,SECURITYSERVICES,US,,,,true,1.00,2023-02-28T06:47:52Z,2021-02-12T12:18:48Z
2001:418:8006::12,rgnet-iad.anycast.censurfridns.dk.,3927,RGnet OU,US,,,i/o timeout,,0.00,2023-04-20T15:48:36Z,2021-03-28T20:59:37Z
2606:4700:4700::1112,,13335,CLOUDFLARENET,US,,,Unexpected result for wikileaks.org: {[[195 35 109 44] [185 165 168 41] [195 35 109 53] [141 105 65 113]]},,0.00,2021-09-01T18:52:02Z,2021-05-29T04:45:49Z
2606:4700:4700::1003,,13335,CLOUDFLARENET,US,,,Unexpected result for wikileaks.org: {[[195 35 109 53] [185 165 168 41] [141 105 65 113] [195 35 109 44]]},,0.00,2021-09-01T18:49:48Z,2021-05-29T04:46:49Z
2606:4700:4700::1002,,13335,CLOUDFLARENET,US,,,Unexpected result for wikileaks.org: {[[141 105 65 113] [195 35 109 53] [185 165 168 41] [195 35 109 44]]},,0.00,2021-09-03T01:49:50Z,2021-05-29T04:47:23Z
2610:a1:1018::5,,397213,ULTRADNS,US,,,,true,1.00,2021-09-28T03:03:11Z,2021-09-27T22:59:44Z
2001:4860:4860::6464,dns64.dns.google.,15169,GOOGLE,US,,,,true,1.00,2021-09-28T05:07:22Z,2021-09-27T23:03:10Z
2606:4700:4700::64,dns64.cloudflare-dns.com.,13335,CLOUDFLARENET,US,,,,true,1.00,2023-03-05T06:57:30Z,2021-09-27T23:03:13Z
2606:4700:4700::6400,dns64.cloudflare-dns.com.,13335,CLOUDFLARENET,US,,,,true,1.00,2023-03-08T07:44:44Z,2021-09-27T23:03:13Z
2610:a1:1018::2,,397213,ULTRADNS,US,,,i/o timeout,,0.00,2021-11-09T22:19:30Z,2021-09-27T23:03:14Z
2610:a1:1019::2,,397215,ULTRADNS,US,,,,true,0.95,2021-09-29T14:03:54Z,2021-09-27T23:03:16Z
2610:a1:1019::5,,397215,ULTRADNS,US,,,,true,0.75,2021-09-28T14:07:22Z,2021-09-27T23:03:18Z
2620:fe::11,dns11.quad9.net.,19281,QUAD9-AS-1,US,,Q9-B-7.2,,true,1.00,2021-10-20T10:03:29Z,2021-09-27T23:03:21Z
2620:fe::fe:10,dns10.quad9.net.,19281,QUAD9-AS-1,US,,Q9-U-7.2,,true,1.00,2021-09-28T05:07:43Z,2021-09-27T23:03:22Z
2620:fe::fe:11,dns11.quad9.net.,19281,QUAD9-AS-1,US,,Q9-B-7.2,,true,1.00,2021-09-29T23:11:31Z,2021-09-27T23:03:23Z
2620:fe::fe:9,dns9.quad9.net.,19281,QUAD9-AS-1,US,,Q9-P-7.2,,true,1.00,2021-09-29T23:11:30Z,2021-09-27T23:03:27Z
2a0d:2a00:1::2,,205157,Daniel Cid,US,,CleanBrowsing v1.6a - dns-edge-europe-frankfurt-v,,true,1.00,2021-09-28T14:07:25Z,2021-09-27T23:03:28Z
2a0d:2a00:2::2,,205157,Daniel Cid,US,,CleanBrowsing v1.6a - dns-edge-europe-frankfurt-v,,true,1.00,2021-09-28T14:07:25Z,2021-09-27T23:03:28Z
2001:470:1f07:ed6::,,6939,HURRICANE,US,Bronxville,none,,true,1.00,2021-09-27T23:23:59Z,2021-09-27T23:23:59Z
2604:ffc0::,,36232,NEXTGI,US,,v1-nextgi,,true,1.00,2021-09-27T23:26:49Z,2021-09-27T23:26:49Z
2001:468:c80:4101:0:100:0:42,jeru.cns.ipv6.vt.edu.,1312,VA-TECH-AS,US,,fancy new chroot version,,true,1.00,2021-09-28T14:07:26Z,2021-09-28T03:35:28Z
2001:470:0:45::2,tserv1.fmt2.he.net.,6939,HURRICANE,US,,PowerDNS Recursor 4.5.5 (built Jul 30 2021 09:12:27 by root@e27da47647ee),,true,1.00,2021-10-02T14:52:42Z,2021-10-02T14:52:42Z
2001:4870:6082:3::100,dlfw-rdns-01.dlfw.twtelecom.net.,3549,LVLT-3549,US,,Version: recursive-main/18640994,,false,1.00,2021-10-02T14:57:05Z,2021-10-02T14:57:05Z
2001:4870:6082:3::5,,3549,LVLT-3549,US,,Version: recursive-main/18640994,,false,1.00,2021-10-02T14:57:52Z,2021-10-02T14:57:52Z
2001:550:1:1::d,na-res1.dns.cogentco.com.,174,COGENT-174,US,,blue,,true,1.00,2021-10-02T15:00:58Z,2021-10-02T15:00:58Z
2001:550:1:2::d,na-res2.dns.cogentco.com.,174,COGENT-174,US,,blue,,true,1.00,2021-10-02T15:01:22Z,2021-10-02T15:01:22Z
2001:978:1:2::d,eu-res2.dns.cogentco.com.,174,COGENT-174,US,,blue,,true,1.00,2021-10-02T16:01:32Z,2021-10-02T15:07:16Z
